たれ込める,たれこめる
たわけ者,たわけもの
たわ言,たわごと
たんぱく質,たんぱくしつ
だいご味,だいごみ
だいだい色,だいだいいろ
だし汁,だしじる
だたっ広い,だたっぴろい
だだっ児,だだっこ
だだっ子,だだっこ
だだっ広い,だだっぴろい
だまし取る,だましとる
だみ声,だみごえ
だめ押し,だめおし
だ円,だえん
だ捕,だほ
ちぎれ雲,ちぎれぐも
ちぢれ毛,ちぢれげ
ちゃぶ台,ちゃぶだい
ちゃ色,ちゃいろ
ちりこ星,ちりこぼし
ちり紙,ちりがみ
ちり鍋,ちりなべ
ちんどん屋,ちんどんや
ちん入,ちんにゅう
っ子,っこ
っ放し,っはなし
っ放し,っぱなし
ついて行く,ついていく
ついて行く,ついてゆく
つかの間,つかのま
つかみ合う,つかみあう
つき出し,つきだし
つき出す,つきだす
つき出る,つきでる
つき刺す,つきさす
つき合い,つきあい
つき合う,つきあう
つき従う,つきしたがう
つき指,つきゆび
つき物,つきもの
つぎ込む,つぎこむ
つくつく法師,つくつくぼうし
つくつく法師,ツクツクボウシ
つくり出す,つくりだす
つくり直す,つくりなおす
つけ入る,つけいる
つけ加える,つけくわえる
つけ根,つけね
つけ込む,つけこむ
つじ風,つじかぜ
つづら折,つづらおり
つづら折り,つづらおり
つづり方,つづりかた
つなぎ服,つなぎふく
つなぎ止める,つなぎとめる
つなぎ目,つなぎめ
つばぜり合い,つばぜりあい
つば迫り合い,つばぜりあい
つぼ焼き,つぼやき
つまみ上げる,つまみあげる
つまみ菜,つまみな
つまみ食い,つまみぐい
つま先,つまさき
つま先立つ,つまさきだつ
つみ重ねる,つみかさねる
つむじ風,つむじかぜ
つめ込む,つめこむ
つや出し,つやだし
つや消し,つやけし
つらぬき通す,つらぬきとおす
つり上げる,つりあげる
つり具,つりぐ
つり合う,つりあう
つり橋,つりはし
つり橋,つりばし
つり針,つりばり
つり銭,つりせん
つるし上げ,つるしあげ
つるし上げる,つるしあげる
つる植物,つるしょくぶつ
つる草,つるくさ
つれ帰る,つれかえる
つれ添う,つれそう
つわ者,つわもの
つん出す,つんだす
てこ入れ,てこいれ
てれ隠し,てれかくし
てんこ盛り,てんこもり
てんてこ舞,てんてこまい
てんてこ舞い,てんてこまい
てんとう虫,てんとうむし
てんとう虫,テントウムシ
てん菜,てんさい
てん菜,テンサイ
てん補,てんぽ
でき上がる,できあがる
でき損い,できそこない
でくの坊,でくのぼう
でっち上げ,でっちあげ
でっち上げる,でっちあげる
でんぐり返る,でんぐりがえる
でんでん虫,でんでんむし
でん粉,でんぷん
でん粉,デンプン
ときの声,ときのこえ
とけ込む,とけこむ
ところ天,ところてん
とば口,とばくち
とび交う,とびかう
とび出る,とびでる
とび口,とびぐち
とび口,トビグチ
とび箱,とびばこ
とび職,とびしょく
とび色,とびいろ
ともし火,ともしび
とらの子,とらのこ
とりこし苦労,とりこしぐろう
とり出す,とりだす
とり囲む,とりかこむ
とり戻す,とりもどす
とり払う,とりはらう
とり残す,とりのこす
とり結ぶ,とりむすぶ
とり除く,とりのぞく
とろ火,とろび
とんとん拍子,とんとんびょうし
とん汁,とんじる
と共に,とともに
と同時に,とどうじに
と畜場,とちくじょう
と金,ときん
どう猛,どうもう
どさ回り,どさまわり
どしゃ降り,どしゃぶり
どす黒い,どすぐろい
どの道,どのみち
どぶ川,どぶがわ
どぶ漬,どぶづけ
どぶ漬け,どぶづけ
どら息子,どらむすこ
どら猫,どらねこ
どれ程,どれほど
どんちゃん騒ぎ,どんちゃんさわぎ
どんでん返し,どんでんがえし
どんぶり勘定,どんぶりかんじょう
どん底,どんぞこ
ど忘れ,どわすれ
ど根性,どこんじょう
ど頭,どたま
なお更,なおさら
ながし目,ながしめ
ながし眼,ながしめ
なぎ倒す,なぎたおす
なぎ払う,なぎはらう
なし崩し,なしくずし
なすり合い,なすりあい
なだれ込む,なだれこむ
なで肩,なでがた
なぶり殺し,なぶりごろし
なべ物,なべもの
なまけ者,なまけもの
なまり節,なまりぶし
なめし皮,なめしがわ
なめし革,なめしがわ
ならず者,ならずもの
なり下がる,なりさがる
なり手,なりて
